2025-06-24 15:20:43,851 - LOG ±â·ÏµÊ: {'time': '2025-06-24 15:20:43', 'cam': 'cam2_rgb', 'label': 'person', 'clip': '/clips/cam2_rgb/20250624_152031_469011.mp4'}
2025-06-24 15:20:52,963 - LOG ±â·ÏµÊ: {'time': '2025-06-24 15:20:52', 'cam': 'cam1_thermal', 'label': 'person', 'clip': '/clips/cam1_thermal/20250624_152042_047472.mp4'}
2025-06-24 15:20:59,855 - LOG ±â·ÏµÊ: {'time': '2025-06-24 15:20:59', 'cam': 'cam1_rgb', 'label': 'person', 'clip': '/clips/cam1_rgb/20250624_152047_097114.mp4'}
2025-06-24 15:21:04,072 - LOG ±â·ÏµÊ: {'time': '2025-06-24 15:21:04', 'cam': 'cam3_thermal', 'label': 'animal', 'clip': '/clips/cam3_thermal/20250624_152102_090469.mp4'}
2025-06-24 15:21:06,548 - LOG ±â·ÏµÊ: {'time': '2025-06-24 15:21:06', 'cam': 'cam1_rgb', 'label': 'person', 'clip': '/clips/cam1_rgb/20250624_152055_891752.mp4'}
2025-06-24 15:21:06,846 - LOG ±â·ÏµÊ: {'time': '2025-06-24 15:21:06', 'cam': 'cam3_rgb', 'label': 'animal', 'clip': '/clips/cam3_rgb/20250624_152103_536215.mp4'}
2025-06-24 15:21:15,935 - LOG ±â·ÏµÊ: {'time': '2025-06-24 15:21:15', 'cam': 'cam3_rgb', 'label': 'animal', 'clip': '/clips/cam3_rgb/20250624_152110_157616.mp4'}
2025-06-24 15:21:34,966 - LOG ±â·ÏµÊ: {'time': '2025-06-24 15:21:34', 'cam': 'cam3_thermal', 'label': 'animal', 'clip': '/clips/cam3_thermal/20250624_152131_823519.mp4'}
2025-06-24 15:21:40,030 - LOG ±â·ÏµÊ: {'time': '2025-06-24 15:21:40', 'cam': 'cam3_rgb', 'label': 'animal', 'clip': '/clips/cam3_rgb/20250624_152136_779089.mp4'}
2025-06-24 15:22:17,284 - LOG ±â·ÏµÊ: {'time': '2025-06-24 15:22:17', 'cam': 'cam3_thermal', 'label': 'animal', 'clip': '/clips/cam3_thermal/20250624_152215_787237.mp4'}
2025-06-24 15:22:18,930 - LOG ±â·ÏµÊ: {'time': '2025-06-24 15:22:18', 'cam': 'cam3_rgb', 'label': 'animal', 'clip': '/clips/cam3_rgb/20250624_152217_155839.mp4'}
2025-06-24 15:22:20,045 - LOG ±â·ÏµÊ: {'time': '2025-06-24 15:22:20', 'cam': 'cam3_rgb', 'label': 'animal', 'clip': '/clips/cam3_rgb/20250624_152218_136048.mp4'}
2025-06-24 15:22:40,034 - LOG ±â·ÏµÊ: {'time': '2025-06-24 15:22:40', 'cam': 'cam3_thermal', 'label': 'animal', 'clip': '/clips/cam3_thermal/20250624_152238_364897.mp4'}
